STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CHANDIGARH,Kidnapping & Abduction,43,37,22,61,39,50,45,42,29,23,33,48
D & N HAVELI,Kidnapping & Abduction,3,6,6,6,6,7,7,16,12,7,3,11
DAMAN & DIU,Kidnapping & Abduction,2,0,1,0,4,1,3,0,0,0,8,0
DELHI,Kidnapping & Abduction,298,325,274,331,419,402,352,412,375,366,503,478
LAKSHADWEEP,Kidnapping & Abduction,0,0,0,0,0,0,0,1,0,0,0,0
PUDUCHERRY,Kidnapping & Abduction,1,10,13,6,2,20,14,8,11,22,10,16
TOTAL (UTs),Kidnapping & Abduction,351,379,317,406,470,490,427,489,432,429,571,560
TOTAL (ALL-INDIA),Kidnapping & Abduction,17819,18221,15643,19250,19326,20967,23658,27208,30526,34250,45363,49083
ANDHRA PRADESH,Robbery,1054,1058,1361,1102,1280,1274,1562,1585,1220,1322,1400,1267
ARUNACHAL PRADESH,Robbery,0,0,0,0,0,0,0,0,0,0,0,2
ASSAM,Robbery,95,127,113,161,174,201,172,159,297,263,146,215
BIHAR,Robbery,2899,2538,2488,2317,2323,2674,3265,2605,2908,2508,3900,3994
CHHATTISGARH,Robbery,163,217,224,220,296,273,247,254,353,277,287,211
GOA,Robbery,4,2,2,8,2,0,8,2,3,5,2,0
GUJARAT,Robbery,238,174,147,122,136,150,121,79,53,28,62,38
HARYANA,Robbery,734,635,528,563,481,533,572,622,633,589,457,481
HIMACHAL PRADESH,Robbery,15,13,15,25,6,12,31,8,3,4,8,4
JAMMU & KASHMIR,Robbery,40,27,20,24,26,12,21,25,46,26,12,23
JHARKHAND,Robbery,557,632,578,578,503,557,559,570,562,567,536,444
KARNATAKA,Robbery,422,571,487,553,578,587,582,698,666,621,642,539
KERALA,Robbery,55,44,59,53,31,39,40,35,32,34,25,38
MADHYA PRADESH,Robbery,1503,1822,1812,2257,1992,2203,2127,2302,2474,2564,2144,2142
MAHARASHTRA,Robbery,1009,1222,1459,1235,1379,1348,1349,1464,1233,1438,1261,1141
MANIPUR,Robbery,0,0,0,0,0,0,0,1,0,0,5,0
MEGHALAYA,Robbery,0,0,0,3,1,0,4,2,0,0,3,4
MIZORAM,Robbery,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,Robbery,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,Robbery,603,602,686,932,708,969,958,733,857,988,858,903
PUNJAB,Robbery,450,495,288,345,246,331,316,286,323,288,364,274
RAJASTHAN,Robbery,722,582,582,680,560,665,683,643,553,616,673,631
SIKKIM,Robbery,0,0,0,0,0,0,0,0,0,2,0,9
TAMIL NADU,Robbery,2266,572,484,514,492,457,503,488,430,313,336,278
TRIPURA,Robbery,94,13,41,28,43,25,42,31,60,62,57,87
UTTAR PRADESH,Robbery,6305,5673,3792,4836,4523,5280,7310,8541,9203,9250,9795,9884
UTTARAKHAND,Robbery,161,187,234,267,160,227,244,168,218,168,233,147
WEST BENGAL,Robbery,725,784,914,976,956,1058,1068,1082,1002,1124,1118,1345
TOTAL (STATES),Robbery,20114,17990,16314,17799,16896,18875,21784,22383,23129,23057,24324,24101
A & N ISLANDS,Robbery,0,0,0,0,0,0,2,3,0,0,0,3
CHANDIGARH,Robbery,7,0,4,13,6,30,3,7,3,10,3,14
D & N HAVELI,Robbery,0,0,0,0,0,1,0,0,0,0,0,0
DAMAN & DIU,Robbery,0,0,0,0,0,1,3,0,0,0,0,0
DELHI,Robbery,256,345,318,298,267,320,313,230,242,209,246,300
LAKSHADWEEP,Robbery,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Robbery,4,11,0,9,4,7,8,1,0,4,5,0
TOTAL (UTs),Robbery,267,356,322,320,277,359,329,241,245,223,254,317
TOTAL (ALL-INDIA),Robbery,20381,18346,16636,18119,17173,19234,22113,22624,23374,23280,24578,24418
ANDHRA PRADESH,Drug Trafficking,3639,4055,4577,4259,4003,4431,4893,4922,5441,4622,4554,4834
ARUNACHAL PRADESH,Drug Trafficking,95,80,66,68,51,40,72,73,70,88,69,77
ASSAM,Drug Trafficking,1161,1372,1660,1322,1288,1716,1466,1307,1614,2020,1794,2250
BIHAR,Drug Trafficking,982,997,965,1058,715,720,1360,1165,795,808,1036,278
CHHATTISGARH,Drug Trafficking,2106,1728,1755,1972,1734,1880,1831,1934,1817,1969,1948,1891
GOA,Drug Trafficking,15,24,15,24,42,25,24,28,35,37,28,42
GUJARAT,Drug Trafficking,1033,1015,970,1132,1064,957,1227,1291,1025,986,1051,1118
HARYANA,Drug Trafficking,567,603,475,491,506,653,572,533,553,605,534,698
HIMACHAL PRADESH,Drug Trafficking,431,419,335,347,357,391,404,358,345,418,373,317
JAMMU & KASHMIR,Drug Trafficking,1034,1377,1966,1857,1563,2015,2306,1748,2044,2053,2759,2814
JHARKHAND,Drug Trafficking,384,433,425,425,299,445,402,302,327,273,340,355
KARNATAKA,Drug Trafficking,2401,2366,2266,1925,2066,2445,2456,2927,3159,3411,3381,3982
KERALA,Drug Trafficking,2317,2568,2328,2825,2842,2951,2959,3452,3238,3585,4257,4167
MADHYA PRADESH,Drug Trafficking,8196,8760,8326,8022,7762,7235,8053,7686,7567,7863,7904,8085
MAHARASHTRA,Drug Trafficking,3385,3260,3147,3355,3865,4246,3864,4334,3938,4386,4704,4885
MANIPUR,Drug Trafficking,12,41,54,26,27,29,47,47,40,23,24,34
MEGHALAYA,Drug Trafficking,13,14,25,17,21,50,24,18,42,29,58,45
MIZORAM,Drug Trafficking,58,55,96,60,43,60,64,76,78,79,63,82
NAGALAND,Drug Trafficking,0,1,3,2,7,4,10,22,13,15,12,16
ODISHA,Drug Trafficking,2278,2316,2440,2468,3318,3565,3713,3765,3589,4116,4541,6060
PUNJAB,Drug Trafficking,462,425,439,337,361,422,472,512,355,454,402,413
RAJASTHAN,Drug Trafficking,3282,2967,2816,3150,2885,2975,2753,2893,2692,2598,2740,2658
SIKKIM,Drug Trafficking,0,17,21,58,28,16,11,18,36,23,17,17
TAMIL NADU,Drug Trafficking,2283,2847,2615,2767,2515,1667,1945,2220,1916,1946,2092,2091
TRIPURA,Drug Trafficking,62,95,157,189,156,162,197,349,434,456,455,375
UTTAR PRADESH,Drug Trafficking,3960,2944,1518,2592,2600,2785,3485,4109,4026,4189,5252,5143
UTTARAKHAND,Drug Trafficking,150,234,196,222,149,204,306,160,178,184,153,199
WEST BENGAL,Drug Trafficking,1163,1377,2021,1714,2027,2004,1712,1584,1640,1841,2243,2879
TOTAL (STATES),Drug Trafficking,41469,42390,41677,42684,42294,44093,46628,47833,47007,49077,52784,55805
A & N ISLANDS,Drug Trafficking,19,17,12,13,14,19,32,32,40,40,15,20
CHANDIGARH,Drug Trafficking,33,39,19,24,36,28,39,22,39,28,24,54
D & N HAVELI,Drug Trafficking,7,2,7,8,10,5,0,7,2,12,2,2
DAMAN & DIU,Drug Trafficking,0,0,3,0,1,5,0,1,5,2,0,0
DELHI,Drug Trafficking,650,634,647,756,968,887,1143,855,710,794,865,939
LAKSHADWEEP,Drug Trafficking,0,1,1,0,0,0,1,0,0,0,0,0
PUDUCHERRY,Drug Trafficking,66,78,78,94,101,79,160,85,53,71,77,7
TOTAL (UTs),Drug Trafficking,775,771,767,895,1130,1023,1375,1002,849,947,983,1022
TOTAL (ALL-INDIA),Drug Trafficking,42244,43161,42444,43579,43424,45116,48003,48835,47856,50024,53767,56827
ANDHRA PRADESH,Insult to modesty,2268,2433,3066,2528,2963,2816,3614,3240,4178,3820,4122,4348
ARUNACHAL PRADESH,Insult to modesty,3,4,0,0,0,2,5,1,2,1,0,0
ASSAM,Insult to modesty,11,7,6,19,9,10,16,2,15,35,26,12
BIHAR,Insult to modesty,37,16,20,18,27,55,19,30,16,22,9,39
CHHATTISGARH,Insult to modesty,194,177,155,155,173,179,129,165,235,261,250,193
GOA,Insult to modesty,8,8,6,17,9,6,6,12,10,22,16,17
GUJARAT,Insult to modesty,147,142,111,251,125,143,179,161,188,131,168,117
HARYANA,Insult to modesty,480,1612,1347,959,755,584,576,731,717,635,564,558
HIMACHAL PRADESH,Insult to modesty,18,16,18,17,34,34,12,55,40,73,56,91
JAMMU & KASHMIR,Insult to modesty,367,458,471,319,442,469,465,401,512,295,458,447
JHARKHAND,Insult to modesty,46,3,29,29,88,33,23,63,38,20,16,51
KARNATAKA,Insult to modesty,71,83,57,63,53,42,44,38,40,22,44,147
KERALA,Insult to modesty,127,113,222,148,198,230,281,302,456,604,598,538
MADHYA PRADESH,Insult to modesty,1123,1110,907,1032,878,970,1104,958,1047,1182,850,1056
MAHARASHTRA,Insult to modesty,1314,972,951,1092,1256,1195,1291,1352,1337,1515,1300,1548
MANIPUR,Insult to modesty,0,0,0,0,0,0,0,0,1,0,1,0
MEGHALAYA,Insult to modesty,0,0,1,0,0,0,0,2,1,0,0,0
MIZORAM,Insult to modesty,0,1,0,0,6,0,0,0,1,0,0,1
NAGALAND,Insult to modesty,0,0,5,0,0,2,1,0,0,3,0,0
ODISHA,Insult to modesty,539,244,299,255,293,311,317,352,297,354,313,376
PUNJAB,Insult to modesty,57,185,225,43,42,75,59,61,50,42,34,45
RAJASTHAN,Insult to modesty,58,62,33,51,38,33,34,15,24,22,13,20
SIKKIM,Insult to modesty,18,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,Insult to modesty,1229,1857,884,1037,787,857,931,1245,568,739,490,470
TRIPURA,Insult to modesty,0,0,0,0,1,0,4,8,10,9,9,15
UTTAR PRADESH,Insult to modesty,3961,2771,6126,4176,4469,3852,4149,4958,3878,15,3,14
UTTARAKHAND,Insult to modesty,137,135,167,267,179,186,128,459,419,282,111,103
WEST BENGAL,Insult to modesty,56,49,84,90,66,76,118,156,120,165,225,617
TOTAL (STATES),Insult to modesty,12269,12458,15190,12566,12891,12160,13505,14767,14200,10269,9676,10823
A & N ISLANDS,Insult to modesty,1,3,2,3,3,6,0,4,8,14,7,6
CHANDIGARH,Insult to modesty,17,31,3,24,13,20,15,3,6,2,11,32
D & N HAVELI,Insult to modesty,0,0,0,0,0,1,0,0,0,2,1,0
DAMAN & DIU,Insult to modesty,0,0,0,0,0,0,0,0,1,0,0,0
DELHI,Insult to modesty,107,171,113,137,255,163,181,141,132,89,165,231
LAKSHADWEEP,Insult to modesty,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Insult to modesty,45,35,43,41,30,70,52,28,21,28,20,17
TOTAL (UTs),Insult to modesty,170,240,161,205,301,260,248,176,168,135,204,286
TOTAL (ALL-INDIA),Insult to modesty,12439,12698,15351,12771,13192,12420,13753,14943,14368,10404,9880,11109
ANDHRA PRADESH,Honor Killing,9725,12134,15784,15583,15409,15531,18016,19398,19018,21572,20719,21251
ARUNACHAL PRADESH,Honor Killing,9,5,9,4,12,8,18,12,12,11,16,26
ASSAM,Honor Killing,1515,2108,2473,3171,3439,3200,3818,3577,5753,6208,4894,5435
BIHAR,Honor Killing,3838,4278,3940,4123,3151,3124,3973,3732,4939,3850,5134,6963
CHHATTISGARH,Honor Killing,1439,1519,1528,2267,1923,1932,2195,2297,2462,2450,2200,2581
GOA,Honor Killing,36,11,55,45,14,34,47,23,46,41,21,54
GUJARAT,Honor Killing,10192,9413,10818,12236,13272,14878,18050,18602,17595,16877,18141,19982
HARYANA,Honor Killing,3134,3159,3044,3427,3303,3538,3880,3712,3661,4057,3533,3606
HIMACHAL PRADESH,Honor Killing,648,485,460,534,541,506,718,731,648,677,507,505
JAMMU & KASHMIR,Honor Killing,110,113,149,172,130,222,320,290,469,418,617,634
JHARKHAND,Honor Killing,943,1125,1025,1025,965,1141,1193,1651,1560,1600,1346,2207
KARNATAKA,Honor Killing,3413,3219,3419,2795,3334,3488,4182,4827,5784,6515,6801,6317
KERALA,Honor Killing,4288,5028,5004,5637,6287,6771,6626,6303,5828,7522,7305,6923
MADHYA PRADESH,Honor Killing,7155,8497,8265,10310,8498,8416,9424,10196,11182,10253,10313,11104
MAHARASHTRA,Honor Killing,20940,20255,19932,20490,22959,24060,24745,25979,29493,28261,26325,27379
MANIPUR,Honor Killing,4,11,10,0,18,6,15,12,25,13,22,21
MEGHALAYA,Honor Killing,3,0,1,3,3,8,13,29,6,11,34,14
MIZORAM,Honor Killing,0,3,2,0,0,0,1,5,4,3,7,7
NAGALAND,Honor Killing,0,0,0,0,0,5,0,4,0,3,1,0
